start	end	text
0	4680	One of these fights was so much lamer with Rogan. We went to a fight on the lawn of you remember this
4680	6680	Which one the fuck it? Oh the playboy man
12160	17380	Man I think that was waddling out was it strike force below that I think it was even worse
17880	25160	Remember the company the Playboy Mansion for a fight. Yeah. Yeah Wow pretty sure it was strike force this old magazine mogul
25400	29640	Look at limps out. It's like five fights in and sits down with these hookers
31640	33640	No, no, no
34280	38760	What's weird is how dated the place was what was it uh?
39680	47240	Strike was right for us. What was weird was how dated the mansion is this like there's an old button phone on the grotto
47760	53680	Like old shit it not just old like everything's just sad John. Well, it's still there in the past
54320	56320	Cosmo's there all day
56320	60560	Everything is like it you know obviously it's all gone now somebody did somebody buy it
60840	63180	Imagine we bought the mansion started doing podcasts out of the
63880	70120	Wait, are we there look at that picture go back up? I think we're right near him behind him perhaps there you are on the right
72720	74320	What a weird
74320	80320	Imagine he died at the right time better than that guy died at the right time huh cuz if he was alive today
80320	86120	Oh my god for him imagine what the me two would have been like for half. There's a documentary about him. It's pretty rough. Yeah
86960	89880	What a good bit about is uh the mansion for sale?
90480	92480	Find out the Playboy Manchester
94920	100800	They saw the mansion is the magazine even going why would it's like if you go to
